ControlName,ColumnName
tbQuestReqSourceId1,ReqSourceId1
tbQuestReqSourceId2,ReqSourceId2
tbQuestReqSourceId3,ReqSourceId3
tbQuestReqSourceId4,ReqSourceId4
tbQuestReqSourceCount1,ReqSourceCount1
tbQuestReqSourceCount2,ReqSourceCount2
tbQuestReqSourceCount3,ReqSourceCount3
tbQuestReqSourceCount4,ReqSourceCount4
tbQuestReqCreatureId1,ReqCreatureOrGOId1
tbQuestReqCreatureId2,ReqCreatureOrGOId2
tbQuestReqCreatureId3,ReqCreatureOrGOId3
tbQuestReqCreatureId4,ReqCreatureOrGOId4
tbQuestReqCreatureCount1,ReqCreatureOrGOCount1
tbQuestReqCreatureCount2,ReqCreatureOrGOCount2
tbQuestReqCreatureCount3,ReqCreatureOrGOCount3
tbQuestReqCreatureCount4,ReqCreatureOrGOCount4
tbQuestReqSpellCast1,ReqSpellCast1
tbQuestReqSpellCast2,ReqSpellCast2
tbQuestReqSpellCast3,ReqSpellCast3
tbQuestReqSpellCast4,ReqSpellCast4
tbQuestRewChoiceItemId1,RewChoiceItemId1
tbQuestRewChoiceItemId2,RewChoiceItemId2
tbQuestRewChoiceItemId3,RewChoiceItemId3
tbQuestRewChoiceItemId4,RewChoiceItemId4
tbQuestRewChoiceItemId5,RewChoiceItemId5
tbQuestRewChoiceItemId6,RewChoiceItemId6
tbQuestRewChoiceItemCount1,RewChoiceItemCount1
tbQuestRewChoiceItemCount2,RewChoiceItemCount2
tbQuestRewChoiceItemCount3,RewChoiceItemCount3
tbQuestRewChoiceItemCount4,RewChoiceItemCount4
tbQuestRewChoiceItemCount5,RewChoiceItemCount5
tbQuestRewChoiceItemCount6,RewChoiceItemCount6
tbQuestRewItemId1,RewItemId1
tbQuestRewItemId2,RewItemId2
tbQuestRewItemId3,RewItemId3
tbQuestRewItemId4,RewItemId4
tbQuestRewItemCount1,RewItemCount1
tbQuestRewItemCount2,RewItemCount2
tbQuestRewItemCount3,RewItemCount3
tbQuestRewItemCount4,RewItemCount4
tbQuestRewRepFact1,RewRepFaction1
tbQuestRewRepFact2,RewRepFaction2
tbQuestRewRepFact3,RewRepFaction3
tbQuestRewRepFact4,RewRepFaction4
tbQuestRewRepFact5,RewRepFaction5
tbQuestRewRepValueId1,RewRepValueId1
tbQuestRewRepValueId2,RewRepValueId2
tbQuestRewRepValueId3,RewRepValueId3
tbQuestRewRepValueId4,RewRepValueId4
tbQuestRewRepValueId5,RewRepValueId5
tbQuestRewRepFactValue1,RewRepValue1
tbQuestRewRepFactValue2,RewRepValue2
tbQuestRewRepFactValue3,RewRepValue3
tbQuestRewRepFactValue4,RewRepValue4
tbQuestRewRepFactValue5,RewRepValue5
tbQuestRewHonorAdd,RewHonorAddition
tbQuestRewHonorMulti,RewHonorMultiplier
tbQuestUnk0,unk0
tbQuestRewOrReqMoney,RewOrReqMoney
tbQuestRewMoneyMaxLevel,RewMoneyMaxLevel
tbQuestRewSpell,RewSpell
tbQuestRewSpellCast,RewSpellCast
tbQuestRewMailId,RewMailTemplateId
tbQuestRewMailDelay,RewMailDelaySecs
tbQuestPointMapId,PointMapId
tbQuestPointX,PointX
tbQuestPointY,PointY
tbQuestPointOpt,PointOpt
tbQuestDetailEmote1,DetailsEmote1
tbQuestDetailEmote2,DetailsEmote2
tbQuestDetailEmote3,DetailsEmote3
tbQuestDetailEmote4,DetailsEmote4
tbQuestDetailEmoteDelay1,DetailsEmoteDelay1
tbQuestDetailEmoteDelay2,DetailsEmoteDelay2
tbQuestDetailEmoteDelay3,DetailsEmoteDelay3
tbQuestDetailEmoteDelay4,DetailsEmoteDelay4
tbQuestIncompleteEmote,IncompleteEmote
tbQuestCompleteEmote,CompleteEmote
tbQuestRewEmote1,OfferRewardEmote1
tbQuestRewEmote2,OfferRewardEmote2
tbQuestRewEmote3,OfferRewardEmote3
tbQuestRewEmote4,OfferRewardEmote4
tbQuestRewEmoteDelay1,OfferRewardEmoteDelay1
tbQuestRewEmoteDelay2,OfferRewardEmoteDelay2
tbQuestRewEmoteDelay3,OfferRewardEmoteDelay3
tbQuestRewEmoteDelay4,OfferRewardEmoteDelay4
tbQuestRewSkillLine,RewSkillLineId
tbQuestRewSkillPoints,RewSkillPoints
tbQuestRewRepMask,RewRepMask
tbQuestGiverPortrait,QuestGiverPortrait
tbQuestTurnInPortrait,QuestTurnInPortrait
tbQuestRewCurrency1,RewCurrencyId1
tbQuestRewCurrencyCount2,RewCurrencyCount1
tbQuestRewCurrency2,RewCurrencyId2
tbQuestRewCurrencyCount2,RewCurrencyCount2
tbQuestRewCurrency3,RewCurrencyId3
tbQuestRewCurrencyCount3,RewCurrencyCount3
tbQuestRewCurrency4,RewCurrencyId4
tbQuestRewCurrencyCount4,RewCurrencyCount4
tbQuestReqCurrency1,ReqCurrencyId1
tbQuestReqCurrencyCount1,ReqCurrencyCount1
tbQuestReqCurrency2,ReqCurrencyId2
tbQuestReqCurrencyCount2,ReqCurrencyCount2
tbQuestReqCurrency3,ReqCurrencyId3
tbQuestReqCurrencyCount3,ReqCurrencyCount3
tbQuestReqCurrency4,ReqCurrencyId4
tbQuestReqCurrencyCount4,ReqCurrencyCount4
tbQuestGiverPortraitText,QuestGiverPortraitText
tbQuestGiverPortraitUnk,QuestGiverPortraitUnk
tbQuestTurnInPortraitText,QuestTurnInPortraitText
tbQuestTurnInPortraitUnk,QuestTurnInPortraitUnk
tbQuestTargetMark,QuestTargetMark
tbQuestStartType,QuestStartType
tbQuestSoundAccept,SoundAccept
tbQuestSoundTurnIn,SoundTurnIn
tbQuestReqSpell,RequiredSpell
tbQuestStartScript,StartScript
tbQuestEndScript,CompleteScript
tbQuestWdbverified,WDBVerified
